danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,track_name,artist_name,realkey,preview_url
0.687,0.831,B,-7.252,Minor,0.0314,0.277,0.016,0.966,0.357,102.222,6GNcywSsiOziS56OnKmCsB,spotify:track:6GNcywSsiOziS56OnKmCsB,254000,4,Lullaby - Live at Wemb,The Cure,BMinor,b7688aa7da96973635a5cc27f7d7524a2276d0f0?cid=774b29d4f13844c495f206cafdad9c86
0.535,0.939,C#,-5.879,Major,0.0526,0.000115,0.382,0.967,0.374,109.81,1DuPppMt7d7qAaYlCTy81D,spotify:track:1DuPppMt7d7qAaYlCTy81D,309987,4,Fascination Street - L,The Cure,C#Major,a959d7441d398522033c4de8debc318253e9caa0?cid=774b29d4f13844c495f206cafdad9c86
0.446,0.896,A,-4.979,Minor,0.0508,0.082,0.029,0.694,0.163,127.32,76ig62naYLjATiQU8YLEko,spotify:track:76ig62naYLjATiQU8YLEko,289547,4,Prayers for Rain - Liv,The Cure,AMinor,75dc4ce8f7e9016a835fd7ae77edbba990379acb?cid=774b29d4f13844c495f206cafdad9c86
0.395,0.545,C,-8.378,Major,0.0287,0.264,0.214,0.667,0.228,182.051,0LiwY2UpIyOJVSoPMa51f6,spotify:track:0LiwY2UpIyOJVSoPMa51f6,603493,4,The Same Deep Water as,The Cure,CMajor,9abca92413e7cbc45de7e52c979fa96fd84409fd?cid=774b29d4f13844c495f206cafdad9c86
0.45,0.929,D,-6.695,Major,0.0874,0.000586,0.0419,0.844,0.187,141.147,1aMnmlCeIUmPJUUiDpreUI,spotify:track:1aMnmlCeIUmPJUUiDpreUI,474493,4,Disintegration - Live ,The Cure,DMajor,1fa214a615a8e1c870a4327c9dcec31e67f1a384?cid=774b29d4f13844c495f206cafdad9c86
0.486,0.664,A,-8.142,Minor,0.0252,0.456,0.649,0.701,0.432,157.645,1UtZImrHfdMzBkAy3fL6aW,spotify:track:1UtZImrHfdMzBkAy3fL6aW,406987,4,Homesick - Live at Wem,The Cure,AMinor,1dea8a9378255e78f10251bbb1cd9d92074fd5cb?cid=774b29d4f13844c495f206cafdad9c86
0.63,0.711,G,-8.131,Major,0.0292,0.425,0.188,0.95,0.126,90.445,528rTminnmESa88zSS3Bgz,spotify:track:528rTminnmESa88zSS3Bgz,404787,4,Untitled - Live at Wem,The Cure,GMajor,254f945d3e0334f34b8768dcf62e6f4e0a4c9196?cid=774b29d4f13844c495f206cafdad9c86
0.306,0.555,C,-9.958,Major,0.0312,6.44e-05,0.0917,0.12,0.377,134.815,1c4OpZ2G1MEcEKSknUZjdD,spotify:track:1c4OpZ2G1MEcEKSknUZjdD,278760,4,Ceremony - Version 1; ,New Order,CMajor,1d582a7ce039ad91188efcb5be0efa4e17457bd5?cid=774b29d4f13844c495f206cafdad9c86
0.294,0.89,C,-7.878,Major,0.0643,0.0286,0.826,0.209,0.335,165.439,0DVgUfiIYPPE5UurNn1mqm,spotify:track:0DVgUfiIYPPE5UurNn1mqm,270093,4,Procession - 2015 Rema,New Order,CMajor,684f7f7702ca6a4c5f9be5ce18505588f3fc9201?cid=774b29d4f13844c495f206cafdad9c86
0.683,0.974,G,-9.055,Major,0.0377,0.00156,0.555,0.315,0.663,127.108,1wAvaUHRV7ThdmEgBT3W2A,spotify:track:1wAvaUHRV7ThdmEgBT3W2A,259293,4,Everything's Gone Gree,New Order,GMajor,c67ad7c655044b4f66adb55b1020250ce84a69e0?cid=774b29d4f13844c495f206cafdad9c86
